Finish kernel   0: [2, 56532]
          warp 34: [2, 56532, 56529, 1]
          warp 35: [2, 56532, 56529, 1]
          warp 36: [2, 56532, 56529, 1]
          warp 37: [2, 56532, 56529, 1]
          warp 38: [2, 56532, 56529, 1]
          warp 39: [2, 56532, 56529, 1]
          warp 40: [2, 56532, 56529, 1]
          warp 41: [2, 56532, 56529, 1]
          warp 42: [2, 56532, 56529, 1]
          warp 43: [2, 56532, 56529, 1]
          warp 44: [2, 56532, 56529, 1]
          warp 45: [2, 56532, 56529, 1]
          warp 46: [2, 56532, 56529, 1]
          warp 47: [2, 56532, 56529, 1]
          warp 48: [2, 56532, 56529, 1]
          warp 49: [2, 56532, 56529, 1]
          warp 50: [2, 56532, 56529, 1]
          warp 51: [2, 56532, 56529, 1]
          warp 52: [2, 56532, 56529, 1]
          warp 53: [2, 56532, 56529, 1]
          warp 54: [2, 56532, 56529, 1]
          warp 55: [2, 56532, 56529, 1]
          warp 56: [2, 56532, 56529, 1]
          warp 57: [2, 56532, 56529, 1]
          warp 58: [2, 56532, 56529, 1]
          warp 59: [2, 56532, 56529, 1]
          warp 60: [2, 56532, 56529, 1]
          warp 61: [2, 56532, 56529, 1]
          warp 62: [2, 56532, 56529, 1]
          warp 63: [2, 56532, 56529, 1]
Finish block   10: [2, 2, 56532, 1824, 1824, 2432]
          warp  0: [2, 56532, 56529, 1]
          warp  1: [2, 56532, 56529, 1]
          warp  2: [2, 56532, 56529, 1]
          warp  3: [2, 56532, 56529, 1]
          warp  4: [2, 56532, 56529, 1]
          warp  5: [2, 56532, 56529, 1]
          warp  6: [2, 56532, 56529, 1]
          warp  7: [2, 56532, 56529, 1]
          warp  8: [2, 56532, 56529, 1]
          warp  9: [2, 56532, 56529, 1]
          warp 10: [2, 56532, 56529, 1]
          warp 11: [2, 56532, 56529, 1]
          warp 12: [2, 56532, 56529, 1]
          warp 13: [2, 56532, 56529, 1]
          warp 14: [2, 56532, 56529, 1]
          warp 15: [2, 56532, 56529, 1]
          warp 16: [2, 56532, 56529, 1]
          warp 17: [2, 56532, 56529, 1]
          warp 18: [2, 56532, 56529, 1]
          warp 19: [2, 56532, 0, 56530]
          warp 20: [2, 56532, 0, 56530]
          warp 21: [2, 56532, 0, 56530]
          warp 22: [2, 56532, 0, 56530]
          warp 23: [2, 56532, 0, 56530]
          warp 24: [2, 56532, 0, 56530]
          warp 25: [2, 56532, 0, 56530]
          warp 26: [2, 56532, 0, 56530]
          warp 27: [2, 56532, 0, 56530]
          warp 28: [2, 56532, 0, 56530]
          warp 29: [2, 56532, 0, 56530]
          warp 30: [2, 56532, 0, 56530]
          warp 31: [2, 56532, 0, 56530]
Finish kernel   1: [56533, 112335]
Finish block   28: [1, 56533, 56534, 0, 0, 0]
          warp  0: [56533, 56534, 0, 1]
          warp  1: [56533, 56534, 0, 1]
          warp  2: [56533, 56534, 0, 1]
          warp  3: [56533, 56534, 0, 1]
          warp  4: [56533, 56534, 0, 1]
          warp  5: [56533, 56534, 0, 1]
          warp  6: [56533, 56534, 0, 1]
          warp  7: [56533, 56534, 0, 1]
          warp  8: [56533, 56534, 0, 1]
          warp  9: [56533, 56534, 0, 1]
          warp 10: [56533, 56534, 0, 1]
          warp 11: [56533, 56534, 0, 1]
          warp 12: [56533, 56534, 0, 1]
          warp 13: [56533, 56534, 0, 1]
          warp 14: [56533, 56534, 0, 1]
          warp 15: [56533, 56534, 0, 1]
          warp 16: [56533, 56534, 0, 1]
          warp 17: [56533, 56534, 0, 1]
          warp 18: [56533, 56534, 0, 1]
          warp 19: [56533, 56534, 0, 1]
          warp 20: [56533, 56534, 0, 1]
          warp 21: [56533, 56534, 0, 1]
          warp 22: [56533, 56534, 0, 1]
          warp 23: [56533, 56534, 0, 1]
          warp 24: [56533, 56534, 0, 1]
          warp 25: [56533, 56534, 0, 1]
          warp 26: [56533, 56534, 0, 1]
          warp 27: [56533, 56534, 0, 1]
          warp 28: [56533, 56534, 0, 1]
          warp 29: [56533, 56534, 0, 1]
          warp 30: [56533, 56534, 0, 1]
          warp 31: [56533, 56534, 0, 1]
Finish block   29: [1, 56533, 56534, 0, 0, 0]
          warp 32: [56533, 56534, 0, 1]
          warp 33: [56533, 56534, 0, 1]
          warp 34: [56533, 56534, 0, 1]
          warp 35: [56533, 56534, 0, 1]
          warp 36: [56533, 56534, 0, 1]
          warp 37: [56533, 56534, 0, 1]
          warp 38: [56533, 56534, 0, 1]
          warp 39: [56533, 56534, 0, 1]
          warp 40: [56533, 56534, 0, 1]
          warp 41: [56533, 56534, 0, 1]
          warp 42: [56533, 56534, 0, 1]
          warp 43: [56533, 56534, 0, 1]
          warp 44: [56533, 56534, 0, 1]
          warp 45: [56533, 56534, 0, 1]
          warp 46: [56533, 56534, 0, 1]
          warp 47: [56533, 56534, 0, 1]
          warp 48: [56533, 56534, 0, 1]
          warp 49: [56533, 56534, 0, 1]
          warp 50: [56533, 56534, 0, 1]
          warp 51: [56533, 56534, 0, 1]
          warp 52: [56533, 56534, 0, 1]
          warp 53: [56533, 56534, 0, 1]
          warp 54: [56533, 56534, 0, 1]
          warp 55: [56533, 56534, 0, 1]
          warp 56: [56533, 56534, 0, 1]
          warp 57: [56533, 56534, 0, 1]
          warp 58: [56533, 56534, 0, 1]
          warp 59: [56533, 56534, 0, 1]
          warp 60: [56533, 56534, 0, 1]
          warp 61: [56533, 56534, 0, 1]
          warp 62: [56533, 56534, 0, 1]
          warp 63: [56533, 56534, 0, 1]
Finish block   26: [2, 56533, 56534, 0, 0, 0]
          warp  0: [56533, 56534, 0, 1]
          warp  1: [56533, 56534, 0, 1]
          warp  2: [56533, 56534, 0, 1]
          warp  3: [56533, 56534, 0, 1]
          warp  4: [56533, 56534, 0, 1]
          warp  5: [56533, 56534, 0, 1]
          warp  6: [56533, 56534, 0, 1]
          warp  7: [56533, 56534, 0, 1]
          warp  8: [56533, 56534, 0, 1]
          warp  9: [56533, 56534, 0, 1]
          warp 10: [56533, 56534, 0, 1]
          warp 11: [56533, 56534, 0, 1]
          warp 12: [56533, 56534, 0, 1]
          warp 13: [56533, 56534, 0, 1]
          warp 14: [56533, 56534, 0, 1]
          warp 15: [56533, 56534, 0, 1]
          warp 16: [56533, 56534, 0, 1]
          warp 17: [56533, 56534, 0, 1]
          warp 18: [56533, 56534, 0, 1]
          warp 19: [56533, 56534, 0, 1]
          warp 20: [56533, 56534, 0, 1]
          warp 21: [56533, 56534, 0, 1]
          warp 22: [56533, 56534, 0, 1]
          warp 23: [56533, 56534, 0, 1]
          warp 24: [56533, 56534, 0, 1]
          warp 25: [56533, 56534, 0, 1]
          warp 26: [56533, 56534, 0, 1]
          warp 27: [56533, 56534, 0, 1]
          warp 28: [56533, 56534, 0, 1]
          warp 29: [56533, 56534, 0, 1]
          warp 30: [56533, 56534, 0, 1]
          warp 31: [56533, 56534, 0, 1]
Finish block   27: [2, 56533, 56534, 0, 0, 0]
          warp 32: [56533, 56534, 0, 1]
          warp 33: [56533, 56534, 0, 1]
          warp 34: [56533, 56534, 0, 1]
          warp 35: [56533, 56534, 0, 1]
          warp 36: [56533, 56534, 0, 1]
          warp 37: [56533, 56534, 0, 1]
          warp 38: [56533, 56534, 0, 1]
          warp 39: [56533, 56534, 0, 1]
          warp 40: [56533, 56534, 0, 1]
          warp 41: [56533, 56534, 0, 1]
          warp 42: [56533, 56534, 0, 1]
          warp 43: [56533, 56534, 0, 1]
          warp 44: [56533, 56534, 0, 1]
          warp 45: [56533, 56534, 0, 1]
          warp 46: [56533, 56534, 0, 1]
          warp 47: [56533, 56534, 0, 1]
          warp 48: [56533, 56534, 0, 1]
          warp 49: [56533, 56534, 0, 1]
          warp 50: [56533, 56534, 0, 1]
          warp 51: [56533, 56534, 0, 1]
          warp 52: [56533, 56534, 0, 1]
          warp 53: [56533, 56534, 0, 1]
          warp 54: [56533, 56534, 0, 1]
          warp 55: [56533, 56534, 0, 1]
          warp 56: [56533, 56534, 0, 1]
          warp 57: [56533, 56534, 0, 1]
          warp 58: [56533, 56534, 0, 1]
          warp 59: [56533, 56534, 0, 1]
          warp 60: [56533, 56534, 0, 1]
          warp 61: [56533, 56534, 0, 1]
          warp 62: [56533, 56534, 0, 1]
          warp 63: [56533, 56534, 0, 1]
Finish block   24: [3, 56533, 56534, 0, 0, 0]
          warp  0: [56533, 56534, 0, 1]
          warp  1: [56533, 56534, 0, 1]
          warp  2: [56533, 56534, 0, 1]
          warp  3: [56533, 56534, 0, 1]
          warp  4: [56533, 56534, 0, 1]
          warp  5: [56533, 56534, 0, 1]
          warp  6: [56533, 56534, 0, 1]
          warp  7: [56533, 56534, 0, 1]
          warp  8: [56533, 56534, 0, 1]
          warp  9: [56533, 56534, 0, 1]
          warp 10: [56533, 56534, 0, 1]
          warp 11: [56533, 56534, 0, 1]
          warp 12: [56533, 56534, 0, 1]
          warp 13: [56533, 56534, 0, 1]
          warp 14: [56533, 56534, 0, 1]
          warp 15: [56533, 56534, 0, 1]
          warp 16: [56533, 56534, 0, 1]
          warp 17: [56533, 56534, 0, 1]
          warp 18: [56533, 56534, 0, 1]
          warp 19: [56533, 56534, 0, 1]
          warp 20: [56533, 56534, 0, 1]
          warp 21: [56533, 56534, 0, 1]
          warp 22: [56533, 56534, 0, 1]
          warp 23: [56533, 56534, 0, 1]
          warp 24: [56533, 56534, 0, 1]
          warp 25: [56533, 56534, 0, 1]
          warp 26: [56533, 56534, 0, 1]
          warp 27: [56533, 56534, 0, 1]
          warp 28: [56533, 56534, 0, 1]
